confusion_matrix,"[[4508  827 1493  645 1631]
 [1445 2516 1772 1208 2163]
 [1230  767 4412 1281 1414]
 [1033  763 1893 3328 2087]
 [ 904  552 1160  654 5834]]"
accuracy,0.45250439367311074
recall,[0.49516696 0.27636204 0.48462214 0.3655536  0.64081722]
precision,[0.49429825 0.4637788  0.4111836  0.46767847 0.44435981]
f1,[0.49473222 0.3463418  0.44489261 0.41035758 0.52480547]
